,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
0,"10x Genomics, Inc.",37.39,37.43,36.31,37.88,37.39,37.43,36.31,37.88,1.9791976416063874
1,2x Bitcoin Strategy ETF,43.74,45.11,41.82,47.14,43.74,45.11,41.82,47.14,1.309470223091744
2,2x Long VIX Futures ETF,9.49,9.455,8.96,9.54,9.49,9.455,8.96,9.54,4.403347912513221
3,"AAON, Inc.",85.4,85.18,84.29,85.88,85.4,85.18,84.29,85.88,1.8278116908506288
4,AAR Corp.,62.8,63.1,62.77,64.82,62.8,63.1,62.77,64.82,1.4447827244935771
5,"Academy Sports and Outdoors, Inc.",71.43,71.07,70.405,72.16,71.43,71.07,70.405,72.16,1.7861755384335374
6,"Acadia Healthcare Company, Inc.",78.55,78.5,76.21,78.55,78.55,78.5,76.21,78.55,1.8687351513285881
7,Acushnet Holdings Corp.,62.53,62.02,62.0,63.52,62.53,62.02,62.0,63.52,1.3727171630256452
8,"Advance Auto Parts, Inc.",85.17,83.83,83.75,85.35,85.17,83.83,83.75,85.35,2.33662315294915
9,"Advanced Energy Industries, Inc.",94.29,94.77,93.77,96.995,94.29,94.77,93.77,96.995,2.8889671552935745
10,AECOM,93.63,93.66,93.735,95.93,93.63,93.66,93.735,95.93,1.5036466487423492
11,Aehr Test Systems,14.32,14.36,14.235,15.2,14.32,14.36,14.235,15.2,2.0574902395014707
12,AerCap Holdings N.V.,85.52,85.65,84.79,86.31,85.52,85.65,84.79,86.31,1.438735147709903
13,"Affirm Holdings, Inc.",34.95,33.92,34.57,37.78,34.95,33.92,34.57,37.78,1.6764070714415298
14,"Agilysys, Inc.",77.94,77.92,77.9,80.01,77.94,77.92,77.9,80.01,2.418458644580464
15,"Akero Therapeutics, Inc.",25.76,25.85,24.22,25.85,25.76,25.85,24.22,25.85,1.8239525881680576
16,"Alarm.com Holdings, Inc.",73.15,73.05,72.57,73.9875,73.15,73.05,72.57,73.9875,1.3901444084559504
17,Albany International Corp.,91.4,91.96,91.4,93.992,91.4,91.96,91.4,93.992,1.8427246132573056
18,Alibaba Group Holding Limited,73.55,73.42,73.31,74.33,73.55,73.42,73.31,74.33,1.9775436929720118
19,Allegiant Travel Company,66.85,67.91,66.51,70.63,66.85,67.91,66.51,70.63,3.17263984347875
20,Altair Engineering Inc.,80.25,80.62,80.25,83.66,80.25,80.62,80.25,83.66,1.7961780110837915
21,"Ambarella, Inc.",49.46,49.64,48.46,50.675,49.46,49.64,48.46,50.675,2.177687769350798
22,"AMC Entertainment Holdings, Inc.",4.25,4.27,4.15,4.28,4.25,4.27,4.15,4.28,1.6373517324801963
23,American States Water Company,70.35,70.59,70.28,71.67,70.35,70.59,70.28,71.67,1.5749626821919267
24,Ameren Corporation,71.96,72.11,71.505,72.55,71.96,72.11,71.505,72.55,1.4279376906965402
